out	Kingdom	Phylum	Class	Order	Family
61878b40e3eb606ea1f5a010b192e12b	Bacteria	 Desulfobacterota	 Desulfovibrionia	 Desulfovibrionales	 Desulfovibrionaceae
f4ab6b87a53aa92831610cd81600c86c	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria
d9f962cfb6a04f12f6a739f763c23d8a	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Oxalobacteraceae
b2362d1fca163d5bc7993a81daff4286	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Aeromonadales	 Aeromonadaceae
e531d7869ac8e98039539046d44559b3	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae
854bf416614a4ef6a5acf21ded19fae8	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
672bd12b848745fcc308563cf37e7e32	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Oxalobacteraceae
e1c4247c51ec50440adae9a4157d7342	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Aeromonadales	 Aeromonadaceae
2fb3357614e150dc9c70b845f0f84d22	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae
9e0bf863d5915cc795d378bd16a69392	Bacteria	 Actinobacteriota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae
a8347912fe8eea9f45a8e552a9411afb	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
98a08b8c3e79a7989015c3109e6a2121	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria
5ad99ff82b238dd6d952858484ba5312	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Aeromonadales	 Aeromonadaceae
b5dcdf505e44f77b602e8765a6a8bb32	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
98641dd00be1a37c86b84054bfffa56f	Bacteria	 Desulfobacterota	 Desulfovibrionia	 Desulfovibrionales	 Desulfovibrionaceae
999f345bc841c41f0af8028de57c1a20	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
555875173232e3d1e49eb72a4db6f5dc	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae
d8146469eb51143015edc6329a7f54da	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Flavobacteriaceae
40ffb77bc21728e79b3530ee90419abd	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
877081d017f3ee16e1999f01e30e7fd2	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae
bf1fa18316c85a02996b57b23f448a01	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae
1a25e2784b1f2b214fb5fe47efb26eff	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
d747cdb271bd0ee7e9e930167931f1c6	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae
9cfa452f6a83a6062f9abd3c68a129a2	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae
d2e8d574de0b7246e18df7a82395dfb2	Bacteria	 Firmicutes	 Bacilli	 Mycoplasmatales	 Mycoplasmataceae
627037c98d3aca839b227c818bda06d6	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
42a78bbb402cbcb9ed26e8260dce1bfb	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae
b7a63dc9b2b198d1d0a3d2215642bb4e	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
ab5f3445d39ecae22ff59139afa2c952	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
dfb5f120e2ebbdd4b94ec97e84d230da	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Flavobacteriaceae
5c7b7a34ca56f754fa41606f06f94999	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Aeromonadales	NA
983b56eaf325973649c7d0a8bc34cbc8	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
4ded7f5596c62a09679a6a053bf50f0f	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Beijerinckiaceae
70870fb709efe0d60c9bbf8462b90b79	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
f68ca94539485de98f56ea898c805eab	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Aeromonadales	 Aeromonadaceae
7792ba947b510bdcf625e41fe0e6a8c1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
2cfe6fe90d07ddcde6bd41cae737f77b	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
110eccd9a1d5859e9753aa0d17451deb	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
8538b461bc6413675e3c5b5a5c8811e1	Bacteria	 Actinobacteriota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae
84ecd4ab8a57124105e3e926cc70081c	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae
bcf44854f601c5b3554ad45e9dede449	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
b480f064c0a55abd92df173caff21952	Bacteria	 Actinobacteriota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae
cc87b904f2f815d6551c88c968df23c2	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae
63d626c200a7f3416c545997a6d04425	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Aeromonadales	NA
e99018618c8d8edbe83bac9b0ee6cc2c	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
f7bf1745d7e33e7824be3fb30e4c01c7	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Oxalobacteraceae
15a920a716dc8d57bb35ed8b927512c6	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
e183861ecc0250c423f8ba48a17ab42a	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae
348da8102a2db002bcffdeccf1b358c7	Bacteria	 Actinobacteriota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae
d401d53bfb4cf5441ca44c411b7eaee2	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae
8b8f2c110c0236a0f62d66c90c04b8d7	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
80b1c41786b394d24dd7ec3834fc675e	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Leuconostocaceae
b771f8459e67383d8a2da51c2f98635d	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae
8a97108850965804c50b4255d44b1ce9	Bacteria	 Actinobacteriota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae
afbaea0848cfa45c6ae551cdd3735bc4	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Chitinibacteraceae
dd972879388a5d1a7b6b7d5ed77b5772	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
c31a2eed2f13afd46ba5f581f602eeb0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Beijerinckiaceae
df686e731f1cd6c3996892dd5da82d4e	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
d774a9f8149d0856b3a6da637d03a444	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae
adb674ef78a2baa1b83356702b9e11d2	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales	 Spirosomaceae
f5861e32b9d807ab7700dc01bac308ea	Bacteria	 Actinobacteriota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae
a2559a02039fcb7dd9af514a8b6d503f	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae
6d7b4e57916024c3493c57d9152e6a4f	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae
e229a2ead1f5137d0fb4c9a92974df53	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
fb7e5c6c41896d69e33a7cfd3c37edac	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae
70be555574c862c3cb0eec35da400422	Bacteria	NA	NA	NA	NA
9cc943d30739d61c75a4c9dc69c41970	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Aeromonadales	 Aeromonadaceae
cd849183ef3085498603a0821a708488	Bacteria	 Actinobacteriota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae
7d1fe6b16c1f91cae40d37087683e1c7	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
48d9249f53b8239f2550d3d1e9c1b0de	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
3ad4291927c46f4549e6c0b758bfb34d	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Beijerinckiaceae
491575b5830e0822a7e797b1d99d1ba9	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
5c37bde84e57a50094a88c3f5ea252ad	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
af863edacdde941ebf976e494db11b2a	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae
cef7098638f394631dbc8b902a7622bb	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae
e98751e04c534cfe0e55a9a5f7371e43	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
7922de8e32a7af5d61c8b33ce40ee514	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae
c230bd109ad951c0cb35a963c77eef6e	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
23d8e17bfb61e38117fe30444f414b3b	Bacteria	 Actinobacteriota	 Actinobacteria	 Frankiales	 Sporichthyaceae
a69eaa86fce8457a576448369085feb6	Bacteria	 Actinobacteriota	 Actinobacteria	 Frankiales	 Sporichthyaceae
0b21903603c012852a4aee30a297dedd	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales	 Spirosomaceae
66c7a58f338814fc33b5f329c76ff508	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae
6ccd94d39bc2adb35162a30f44202197	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Oxalobacteraceae
9604678cd70f0988391f9149aa96a0c0	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae
c554bed4c736cece92fb5f211dfb4716	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
4e171077f7d1bae1387d71526c8137ba	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Oxalobacteraceae
99211a8c1b5e540ce2a007df2c54d888	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Enterococcaceae
5061592952de5cef4724914048e12248	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae
9d2223d2d2261ea7cc18d564be2dbd16	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Oxalobacteraceae
c5398547432e6b78e823eda76dc03151	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Methylophilaceae
eb6c179a076872b0d5d2634ad9617609	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
b923a1860a64422c18ca1910e6b93d77	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae
aec9affb178a32822a69b71e0d9cc10a	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae
d1109901ceecdbea8e437ebc297e6958	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
d39f827feec16a24f7a61bb5c988f310	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
2754227a5ab24d37b9d51cf49ff68796	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Vagococcaceae
8a6628bed0b40b563910ae4ff1d655fc	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
6f490f51b71eda72aedc8497d353a9f5	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Flavobacteriaceae
7c73fec1c7e395e80a386698f9daa9aa	Bacteria	 Firmicutes	 Bacilli	 Staphylococcales	 Staphylococcaceae
36be3528b490fedf336445d2a37588b7	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
d120290ed5ab1f8be558529d9b455114	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
3b87e67148bb31d4ab9af7a393d1a091	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Oxalobacteraceae
2dad9bdc4d56bb035c49e1e900cd4acf	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	 Acetobacteraceae
86086d72c96f1d91783c15c8dc1c787c	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Chitinibacteraceae
ef558131f219936509631046841c35f9	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Hyphomicrobiaceae
c6dc3d1bfc2ddfe7cc9c52342195288c	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Chloroplast	 Chloroplast
c37dc3d17b43a9eb3e218ef73f392ace	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae
f9b3862aa67fd05762087300191da62a	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae
bd2557cc96a026350c2dc9fb764ffc8f	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
47e3b3eef891831022d9ce47f6e311b2	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
f0d9a9b0dfca11d9c9d53e676cc5d17c	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Oxalobacteraceae
efd005e7bf3be4b6f3295fd5abafa836	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Methylococcales	 Methylomonadaceae
c72f275cc0d32fbd3f66f43993877091	Bacteria	 Chloroflexi	 Anaerolineae	 Caldilineales	 Caldilineaceae
94cfa67b0582cb7ffd54a9c59b10e850	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Flavobacteriaceae
8631442f855f3990850850e7785257df	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Oxalobacteraceae
c9b7ada10ed151b727c3994e31aba813	Bacteria	 Firmicutes	 Clostridia	 Peptostreptococcales-Tissierellales	 Peptostreptococcaceae
9c435a245f07d3a5b743fa4f4d200265	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae
da7d67daf35e9879da0581fc725e9792	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae
2c558b9633e98671e1dc271e9edde827	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
36c9a5f56e3bdf15fccc87b223a442e6	Bacteria	 Campilobacterota	 Campylobacteria	 Campylobacterales	 Arcobacteraceae
c7157154edc9083dda4697acccde7191	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria
8b16088e828544e18bb6914e0bc4ac92	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae
c74f2e258adc9356697748db9dc224e4	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae
b6951d32804ac1fd42c9d203056a6381	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Chitinibacteraceae
be4f59ebd636a98e861e9d13fa8eb755	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Chitinibacteraceae
d3e897cada32bdbd1f5ca6adb0a5b0b4	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
c2e37a0e91af84428bf93c6731a2bb50	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
c77abf37e8517d27f58c9ef1619e601e	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Chthoniobacterales	 Terrimicrobiaceae
5d8b1c35e4587c47c01db582e70ec489	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae
84f3fdefc0e2a4ac218d159b6b6fe117	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	NA
c5e6a5eef84f1b8940d276c9bd9b9712	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
821ab012deebd892df12efe4e6932f1d	Bacteria	 Actinobacteriota	 Actinobacteria	 Frankiales	 Sporichthyaceae
68a9ca55a6e0cd4167beea90808ac320	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales	 Spirosomaceae
c3e7d2b8c6459000784681e02f8164d0	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae
42c1d477940ab51cfa2f817cf3fdeafb	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Oxalobacteraceae
